StudentID,CompanyRoleID,PlacementStatus,PlacementDate
3002,187,Placed,2026-07-04
3003,187,Placed,2026-07-04
3006,187,Placed,2026-07-04
3008,187,Placed,2026-07-04
3009,186,Placed,2026-07-04
3010,187,Placed,2026-07-04
3011,186,Placed,2026-07-04
3013,187,Placed,2026-07-04
3015,187,Placed,2026-07-04
3017,187,Placed,2026-07-04
3018,187,Placed,2026-07-04
3019,186,Placed,2026-07-04
3020,187,Placed,2026-07-04
3022,187,Placed,2026-07-04
3023,187,Placed,2026-07-04
3024,186,Placed,2026-07-04
3028,187,Placed,2026-07-04
3030,187,Placed,2026-07-04
3036,209,Placed,2026-07-04
3037,264,Placed,2026-07-04
3039,205,Placed,2026-07-04
3043,208,Placed,2026-07-04
3045,256,Placed,2026-07-04
3046,209,Placed,2026-07-04
3047,204,Placed,2026-07-04
3050,209,Placed,2026-07-04
3051,204,Placed,2026-07-04
3052,203,Placed,2026-07-04
3053,205,Placed,2026-07-04
3055,260,Placed,2026-07-04
3056,252,Placed,2026-07-04
3058,203,Placed,2026-07-04
3061,256,Placed,2026-07-04
3065,204,Placed,2026-07-04
3068,238,Placed,2026-07-04
3070,260,Placed,2026-07-04
3071,256,Placed,2026-07-04
3072,232,Placed,2026-07-04
3076,204,Placed,2026-07-04
3078,203,Placed,2026-07-04
3079,232,Placed,2026-07-04
3081,233,Placed,2026-07-04
3084,203,Placed,2026-07-04
3091,233,Placed,2026-07-04
3096,205,Placed,2026-07-04
3097,204,Placed,2026-07-04
3098,208,Placed,2026-07-04
3099,205,Placed,2026-07-04
3101,238,Placed,2026-07-04
3105,205,Placed,2026-07-04
3111,242,Placed,2026-07-04
3113,244,Placed,2026-07-04
3116,267,Placed,2026-07-04
3120,218,Placed,2026-07-04
3123,246,Placed,2026-07-04
3124,237,Placed,2026-07-04
3127,249,Placed,2026-07-04
3130,244,Placed,2026-07-04
3131,218,Placed,2026-07-04
3136,249,Placed,2026-07-04
3144,237,Placed,2026-07-04
